ID,Nome Tecnico,Categoria,Descrizione semplice,Sinonimi,Keywords ricerca,Complessità,Coperture
ablazione_tartaro,Ablazione del tartaro,Odontoiatria,"Rimozione professionale di placca e tartaro dai denti mediante strumenti specifici (ablatore ultrasonico o manuale), seguita da lucidatura delle superfici dentali. È una procedura di igiene orale professionale fondamentale per prevenire gengiviti e parodontiti.","pulizia dei denti, pulizia denti, detartrasi, igiene orale, igiene dentale professionale, rimozione tartaro, scaling, pulizia dentale, igienista dentale, seduta di igiene","pulizia, denti, tartaro, igiene, dentista, igienista, placca, gengiviti",Semplice,
visita_cardiologica,Visita cardiologica,Visite Specialistiche,"Consulto specialistico con un medico cardiologo per valutare la salute del cuore e dell'apparato cardiovascolare. Include anamnesi, esame obiettivo e valutazione di sintomi come dolore toracico, palpitazioni, affanno. Può essere prescritta per controllo preventivo o per indagare specifici disturbi.","visita cuore, cardiologo, visita cardiovascolare, controllo cardiaco, visita dal cardiologo, specialista cuore, consulto cardiologico","cuore, cardiologo, cardiovascolare, pressione, palpitazioni, dolore petto, affanno, controllo cuore",Media,
risonanza_magnetica_ginocchio,Risonanza Magnetica Nucleare ginocchio senza mezzo di contrasto,Diagnostica,"Esame diagnostico per immagini che utilizza campi magnetici e onde radio per ottenere immagini dettagliate delle strutture interne del ginocchio (ossa, cartilagini, legamenti, menischi). Non utilizza radiazioni ionizzanti. Versione senza mezzo di contrasto.","risonanza ginocchio, RM ginocchio, RMN ginocchio, risonanza magnetica ginocchio, imaging ginocchio","risonanza, magnetica, ginocchio, legamenti, menisco, RM, RMN, imaging, dolore ginocchio",Media,
esami_sangue_base,Esami ematochimici di base,Diagnostica,"Prelievo venoso e analisi di laboratorio per valutare parametri ematici fondamentali: emocromo completo, glicemia, colesterolo, trigliceridi, transaminasi, creatinina, funzionalità renale ed epatica. Utile per check-up preventivi o per monitorare patologie.","esami del sangue, analisi sangue, prelievo sangue, esami ematici, emocromo, check up sangue, analisi cliniche, prelievo venoso, esami di routine","sangue, prelievo, analisi, emocromo, glicemia, colesterolo, laboratorio, check up",Semplice,
fisioterapia_seduta,Seduta di fisioterapia individuale,Terapie,"Trattamento riabilitativo individuale con fisioterapista qualificato, della durata media di 30-60 minuti. Può includere: terapia manuale, esercizi terapeutici, mobilizzazione articolare, tecniche per ridurre dolore e infiammazione, educazione posturale. Prescritta per recupero post-traumatico, patologie muscolo-scheletriche, dolori cronici.","fisioterapia, fisioterapista, terapia fisica, riabilitazione, seduta riabilitativa, fisiokinesiterapia, terapia manuale","fisioterapia, fisio, riabilitazione, dolore schiena, male collo, recupero, terapia fisica, fisioterapista",Media,
ID,Nome Tecnico,,Descrizione Semplice,Sinonimi,Keywords Ricerca,,
visita_cardiologica,Visita cardiologica,Visite Specialistiche,"Consulto specialistico con un medico cardiologo per valutare la salute del cuore e dell'apparato cardiovascolare. Include anamnesi, esame obiettivo e valutazione di sintomi come dolore toracico, palpitazioni, affanno.","visita cuore, cardiologo, visita cardiovascolare, controllo cardiaco, specialista cuore, consulto cardiologico","cuore, cardiologo, cardiovascolare, pressione, palpitazioni, dolore petto",Media,
visita_oculistica,Visita oculistica,Visite Specialistiche,"Visita dall'oculista per valutare la vista e la salute degli occhi. Include controllo acuità visiva, esame del fondo oculare, misurazione pressione oculare.","visita occhi, oculista, vista, controllo vista, oftalmologo","occhi, vista, oculista, miopia, astigmatismo, presbiopia, glaucoma",Media,
visita_ortopedica,Visita ortopedica,Visite Specialistiche,"Visita specialistica per valutare problemi alle ossa, articolazioni, muscoli e tendini. Utile per dolori articolari, traumi, problemi posturali.","ortopedico, visita ossa, dolori articolari, traumatologo","ortopedia, ossa, articolazioni, dolori, frattura, distorsione, schiena",Media,
visita_dermatologica,Visita dermatologica,Visite Specialistiche,"Visita dal dermatologo per valutare problemi della pelle, nei, acne, dermatiti, psoriasi e altre patologie cutanee.","dermatologo, visita pelle, nei, controllo nei","pelle, dermatologia, nei, acne, eczema, psoriasi, allergie cutanee",Media,
